Ticker,Sector,ProfitMargin,ROA,DebtRatio,FinancialStrengthScore
TPL,Energy,0.6030844786329069,0.2965456317402195,0.0099644053575542,8.344572791806627
MA,Financials,0.4564667134274648,0.2763816311834112,0.350831840759274,5.0015998606627905
V,Financials,0.50145,0.2013309644975759,0.2526523934274845,4.763647802655525
GOOGL,Communication Services,0.3280987796522654,0.2220295961067126,0.0996017007094128,4.7247237979050976
IDXX,Health Care,0.2461750372121489,0.3161862730205306,0.2912957929830226,4.4410174302329875
INCY,Health Care,0.2502605401574172,0.1849173602714468,0.0058080133395171,4.152869028860648
VICI,Real Estate,0.6928139374895784,0.059401656975465,0.378599357831262,3.259767676644164
AMAT,Information Technology,0.2466864072194021,0.1927876801013802,0.1942202264525193,3.147804123184155
REGN,Health Care,0.314085714883322,0.1110711142122405,0.066715649170215,3.1409566465149483
META,Communication Services,0.3008369574952977,0.1651763150201764,0.2292136243548867,2.915467627558594
LLY,Health Care,0.3166664109605854,0.1835058145737757,0.3778850599238949,2.4391158749090858
SPG,Real Estate,0.727096922698623,0.1139624413510892,0.7187701091742384,2.3464794890347433
JNJ,Health Care,0.2845646704107524,0.1345514783394407,0.2406154309522614,2.2699962180636586
ABNB,Consumer Discretionary,0.2051302998121068,0.1130673631123919,0.0930745677233429,2.235886569561521
WST,Health Care,0.1605998503627078,0.1156206088992974,0.0751990632318501,2.059195616026312
